Index,Time,((Motor_DM_6220[0]).PID_Omega).Target,((Motor_DM_6220[0]).PID_Omega).Measure
31979,31.978862,-1.02236938,-0.776312828
31980,31.979855,-1.03005624,-0.776312828
31981,31.980868,-1.03774047,-0.76556778
31982,31.981854,-1.04542208,-0.754822731
31983,31.982867,-1.05310106,-0.744077682
31984,31.983867,-1.06077766,-0.744077682
31985,31.984865,-1.06845152,-0.733333588
31986,31.985858,-1.07612264,-0.722588539
31987,31.986864,-1.08379126,-0.717216492
31988,31.987857,-1.09145713,-0.727960587
31989,31.988863,-1.09912026,-0.733333588
31990,31.989856,-1.10678089,-0.744077682
31991,31.990862,-1.11443853,-0.754822731
31992,31.991855,-1.12209356,-0.770939827
31993,31.992860,-1.12974572,-0.797801971
31994,31.993857,-1.13739526,-0.819292068
31995,31.994862,-1.14504194,-0.840781212
31996,31.995869,-1.15268576,-0.867643356
31997,31.996854,-1.16032672,-0.883760452
31998,31.997868,-1.16796482,-0.910622597
31999,31.998861,-1.17560005,-0.932112694
32000,31.999867,-1.18323231,-0.94822979
32001,32.000860,-1.1908617,-0.964346886
32002,32.001865,-1.19848824,-0.980463982
32003,32.002859,-1.20611179,-0.980463982
32004,32.003868,-1.21373224,-0.985836029
32005,32.004861,-1.22134984,-0.985836029
32006,32.005866,-1.22896433,-0.99120903
32007,32.006864,-1.23657584,-0.996581078
32008,32.007857,-1.24418426,-0.996581078
32009,32.008866,-1.25178957,-1.00195312
32010,32.009864,-1.2593919,-1.00732613
32011,32.010857,-1.26699102,-1.01807117
32012,32.011863,-1.27458715,-1.02881527
32013,32.012856,-1.28218007,-1.03956032
32014,32.013866,-1.28976989,-1.05030537
32015,32.014860,-1.29735637,-1.06642246
32016,32.015891,-1.30493975,-1.08791161
32017,32.016864,-1.31251991,-1.1094017
32018,32.017863,-1.32009685,-1.13089085
32019,32.018857,-1.32767034,-1.15238094
32020,32.019864,-1.33524072,-1.16312599
32021,32.020858,-1.34280789,-1.17924309
32022,32.021865,-1.35037172,-1.19536018
32023,32.022859,-1.35793209,-1.20610523
32024,32.023868,-1.36548901,-1.21147728
32025,32.024854,-1.37304294,-1.21684933
32026,32.025861,-1.38059318,-1.21684933
32027,32.026865,-1.38813996,-1.21684933
32028,32.027865,-1.39568353,-1.22222233
32029,32.028859,-1.40322351,-1.22222233
32030,32.029866,-1.41076016,-1.23296738
32031,32.030860,-1.41829324,-1.23296738
32032,32.031866,-1.42582297,-1.24371147
32033,32.032860,-1.43334889,-1.24371147
32034,32.033870,-1.44087148,-1.25445652
32035,32.034856,-1.44839048,-1.25982857
32036,32.035863,-1.45590591,-1.27057362
32037,32.036866,-1.46341777,-1.28131866
32038,32.037857,-1.47092593,-1.28669071
32039,32.038864,-1.47843063,-1.29743576
32040,32.039858,-1.48593163,-1.30280781
32041,32.040865,-1.49342883,-1.30818081
32042,32.041859,-1.50092244,-1.31355286
32043,32.042865,-1.50841224,-1.31892586
32044,32.043854,-1.51589847,-1.31892586
32045,32.044867,-1.52338088,-1.33504295
32046,32.045859,-1.53085947,-1.340415
32047,32.046865,-1.53833437,-1.34578705
32048,32.047864,-1.54580545,-1.35116005
32049,32.048862,-1.55327272,-1.34578705
32050,32.049855,-1.56073618,-1.34578705
32051,32.050861,-1.56819582,-1.34578705
32052,32.051854,-1.57565141,-1.34578705
32053,32.052868,-1.58310342,-1.340415
32054,32.053856,-1.59055126,-1.34578705
32055,32.054862,-1.59799528,-1.34578705
32056,32.055855,-1.60543537,-1.34578705
32057,32.056860,-1.61287141,-1.35116005
32058,32.057862,-1.62030351,-1.3565321
32059,32.058868,-1.6277318,-1.36727715
32060,32.059862,-1.6351558,-1.37802219
32061,32.060868,-1.64257586,-1.39413929
32062,32.061854,-1.64999187,-1.40488434
32063,32.062867,-1.65740383,-1.41562843
32064,32.063856,-1.66481161,-1.42637348
32065,32.064861,-1.67221546,-1.44249058
32066,32.065854,-1.67961502,-1.45860767
32067,32.066868,-1.68701053,-1.46935272
32068,32.067854,-1.69440198,-1.47472477
32069,32.068866,-1.70178902,-1.48009777
32070,32.069864,-1.70917201,-1.49084282
32071,32.070858,-1.71655071,-1.50158691
32072,32.071863,-1.72392511,-1.50695992
32073,32.072856,-1.73129547,-1.51233196
32074,32.073865,-1.73866141,-1.51770401
32075,32.074858,-1.74602294,-1.51770401
32076,32.075864,-1.75338042,-1.52307701
32077,32.076857,-1.76073337,-1.52307701
32078,32.077863,-1.76808226,-1.52844906
32079,32.078863,-1.77542663,-1.53382206
32080,32.079862,-1.78276646,-1.54456615
32081,32.080857,-1.79010201,-1.54993916
32082,32.081863,-1.79743314,-1.56068325
32083,32.082857,-1.80475974,-1.5714283
